iter	Logloss
0	0.6557252649
1	0.6196745664
2	0.5850399577
3	0.5504363861
4	0.5235261911
5	0.50317548
6	0.4866791588
7	0.470339286
8	0.4557688687
9	0.4387346734
10	0.425214026
11	0.414723293
12	0.4017149798
13	0.393224819
14	0.3845487248
15	0.3750820891
16	0.3649285117
17	0.356199637
18	0.3501804585
19	0.3423420971
20	0.3338942951
21	0.3288573293
22	0.3226311364
23	0.3184242064
24	0.3125061144
25	0.3053893513
26	0.300436954
27	0.2949967345
28	0.2881627887
29	0.2825875299
30	0.2781061012
31	0.2743061228
32	0.269974538
33	0.2674573239
34	0.2619869409
35	0.2579626193
36	0.2555185823
37	0.2520287219
38	0.2476864469
39	0.2437133422
40	0.2410455234
41	0.2386009565
42	0.2362282419
43	0.2331291928
44	0.2306501649
45	0.2286186413
46	0.2258545296
47	0.2231413839
48	0.2229453855
49	0.2216186447
50	0.2194425543
51	0.2171836324
52	0.2152867993
53	0.2141707803
54	0.2120231805
55	0.2100947883
56	0.2083830822
57	0.2073462564
58	0.2067349614
59	0.2050272122
60	0.2038873746
61	0.2028434356
62	0.2007837377
63	0.1989986518
64	0.1977629086
65	0.1959142989
66	0.1943704745
67	0.1928072683
68	0.191208366
69	0.1893756261
70	0.1879571694
71	0.186639721
72	0.185942771
73	0.1841621331
74	0.1825497291
75	0.1812578714
76	0.1799348442
77	0.1787561028
78	0.1775915484
79	0.1761257271
80	0.1748867746
81	0.1734801379
82	0.172704225
83	0.1712748754
84	0.1692680398
85	0.1677941834
86	0.1665862856
87	0.1651844717
88	0.1645312525
89	0.1634499124
90	0.1621610724
91	0.1612329826
92	0.1592411313
93	0.1576959346
94	0.1569853195
95	0.1562752306
96	0.155387142
97	0.1546803878
98	0.1540055433
99	0.1530597366
100	0.1517947106
101	0.1498779579
102	0.1487437482
103	0.1474328157
104	0.1455964074
105	0.1444546875
106	0.1435606828
107	0.1426954044
108	0.1416707319
109	0.1408222295
110	0.1400896076
111	0.1394868366
112	0.1379199474
113	0.136959907
114	0.1359486172
115	0.1349923964
116	0.1341760114
117	0.1337119088
118	0.1327762269
119	0.131562199
120	0.1304594025
121	0.1294347383
122	0.1282603693
123	0.1274689905
124	0.1262634038
125	0.1252599822
126	0.1249306703
127	0.124357375
128	0.123200957
129	0.1219425145
130	0.1209341822
131	0.1197716407
132	0.1191602205
133	0.1183542787
134	0.1177743315
135	0.1169198496
136	0.1162917038
137	0.1155354609
138	0.114519148
139	0.1136070241
140	0.1128940543
141	0.1120329266
142	0.1113839731
143	0.1104968499
144	0.1097677374
145	0.1089065404
146	0.1080845584
147	0.1072780888
148	0.1061347219
149	0.1056203732
150	0.1051084217
151	0.1042505048
152	0.1030740883
153	0.1021211895
154	0.1013548707
155	0.1006678801
156	0.100202517
157	0.09949701252
158	0.09845992884
159	0.09746938598
160	0.09683383279
161	0.09640337376
162	0.09603193244
163	0.09538384346
164	0.0945751966
165	0.09411876799
166	0.09330148119
167	0.09272004575
168	0.0920870558
169	0.09154803156
170	0.09124559404
171	0.0907225964
172	0.09037417466
173	0.08995770871
174	0.08938288463
175	0.08895399211
176	0.08817705253
177	0.08740988479
178	0.08709803708
179	0.08679002427
180	0.086134301
181	0.08549893022
182	0.08468299619
183	0.08419704025
184	0.08358699933
185	0.08269559579
186	0.08211520847
187	0.0817893422
188	0.08130092614
189	0.08089813734
190	0.08030473548
191	0.07963934498
192	0.07895711943
193	0.07847065876
194	0.07788308538
195	0.0775244128
196	0.07687213369
197	0.0763796924
198	0.07574534958
199	0.07522793534
200	0.07468640622
201	0.07440657321
202	0.07376174454
203	0.07325713752
204	0.07260943976
205	0.07218849522
206	0.07202948335
207	0.07146410526
208	0.07107809647
209	0.07044984638
210	0.06996078175
211	0.06947841029
212	0.06920409488
213	0.06882697094
214	0.06840678541
215	0.06794566228
216	0.06754646679
217	0.06712285171
218	0.06682707038
219	0.06653473254
220	0.06609474722
221	0.06582416292
222	0.06535731818
223	0.06499901947
224	0.06469307518
225	0.06440847013
226	0.06398257568
227	0.06371598723
228	0.06343021499
229	0.06292448079
230	0.06256647778
231	0.06218436617
232	0.06187581133
233	0.06152630095
234	0.06134095872
235	0.06091874588
236	0.06051248478
237	0.06010677991
238	0.05976519135
239	0.05932850013
240	0.0589793533
241	0.05867866473
242	0.05822668216
243	0.05789072308
244	0.05753075241
245	0.05725772681
246	0.05689810207
247	0.05661458195
248	0.05621081768
249	0.05587463664
250	0.05556384175
251	0.05521647318
252	0.05474355538
253	0.05446339011
254	0.0542275986
255	0.0538408357
256	0.05360319001
257	0.05341620026
258	0.05310686816
259	0.05286322707
260	0.05253769313
261	0.05214955287
262	0.05177724357
263	0.05159777909
264	0.05138696315
265	0.05120817734
266	0.05086432184
267	0.05048211324
268	0.05032635297
269	0.0500630022
270	0.04972203964
271	0.04948994237
272	0.04916685011
273	0.04915642556
274	0.04882043341
275	0.04845418218
276	0.04829492961
277	0.04809656375
278	0.0477880789
279	0.04750191225
280	0.04719358325
281	0.04692647967
282	0.04672487315
283	0.04647893594
284	0.04620130734
285	0.04596213125
286	0.04567052952
287	0.04538202737
288	0.04517309375
289	0.04489906943
290	0.04467576944
291	0.044406499
292	0.0442827169
293	0.0439171543
294	0.04368773513
295	0.04348838828
296	0.04328078802
297	0.04312770618
298	0.04284879774
299	0.04269607816
